Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
002030	KR7002030005	아세아	KOSPI		267500	2	-500	-0.19	268000	268500	266000	142	37845500	557507450000	2084140	STK
006650	KR7006650006	대한유화	KOSPI		85600	2	-800	-0.93	85500	87600	85100	14198	1227049200	556400000000	6500000	STK
222080	KR7222080004	씨아이에스	KOSDAQ	우량기업부	7180	2	-10	-0.14	7140	7250	7100	66119	474648875	555529804020	77371839	KSQ
023160	KR7023160005	태광	KOSDAQ	우량기업부	20900	1	500	2.45	20050	21000	20050	95767	1982286200	553850000000	26500000	KSQ
058610	KR7058610007	에스피지	KOSDAQ	우량기업부	24950	1	1600	6.85	22800	25450	22800	313463	7686512650	553325132000	22177360	KSQ
005420	KR7005420005	코스모화학	KOSPI		14390	2	-260	-1.77	14440	14800	14370	42475	615399480	552694400920	38408228	STK
003470	KR7003470002	유안타증권	KOSPI		2765	1	15	0.55	2745	2770	2715	179513	494734606	551884532640	199596576	STK
014830	KR7014830004	유니드	KOSPI		80500	1	1300	1.64	80600	82600	79600	42280	3434276200	544791800000	6767600	STK
041190	KR7041190000	우리기술투자	KOSDAQ	우량기업부	6470	2	-20	-0.31	6530	6550	6410	167017	1081156675	543480000000	84000000	KSQ
005610	KR7005610001	SPC삼립	KOSPI		62600	2	-200	-0.32	62700	63700	62000	9275	582937900	540175963400	8629009	STK
082920	KR7082920000	비츠로셀	KOSDAQ	우량기업부	23600	2	-500	-2.07	24100	24100	23350	36435	858655750	539784226800	22872213	KSQ
